"","GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted"
"2007-01-03",11.6616621017456,11.928427696228,11.5392894744873,11.7014513015747,307951740,11.6137018203735
"2007-01-04",11.7367372512817,12.110860824585,11.7204704284668,12.0935935974121,315188496,12.0029020309448
"2007-01-05",12.0745754241943,12.1997003555298,11.9647150039673,12.1919422149658,274609116,12.1005144119263
"2007-01-08",12.2044544219971,12.2590093612671,12.0670671463013,12.101601600647,189985824,12.0108518600464
"2007-01-09",12.148398399353,12.2184677124023,12.0420417785645,12.1496496200562,215040744,12.0585384368896
"2007-01-10",12.1228733062744,12.3511009216309,12.0630626678467,12.2487487792969,238501260,12.1568965911865
"2007-01-11",12.4424419403076,12.5563058853149,12.416916847229,12.5055055618286,288039672,12.4117250442505
"2007-01-12",12.5623121261597,12.637638092041,12.5125131607056,12.637638092041,178769052,12.5428667068481
"2007-01-16",12.7014513015747,12.8378381729126,12.5950946807861,12.6196203231812,302453244,12.5249853134155
"2007-01-17",12.5973472595215,12.7069568634033,12.3718719482422,12.4444437026978,267696036,12.3511219024658
"2007-01-18",12.3753747940063,12.4244241714478,12.1979484558105,12.2079582214355,237042720,12.1164093017578
"2007-01-19",12.2117118835449,12.2812814712524,12.1806812286377,12.2560062408447,198932868,12.1640977859497
"2007-01-22",12.3248252868652,12.3285789489746,11.9744739532471,12.0330333709717,215955828,11.9427967071533
"2007-01-23",12.0317821502686,12.1308813095093,11.9441938400269,11.9882383346558,186433380,11.8983373641968
"2007-01-24",12.1233730316162,12.5010013580322,12.0943441390991,12.4892387390137,242129628,12.3955821990967
"2007-01-25",12.5375375747681,12.6251249313354,12.1536540985107,12.2144641876221,254485260,12.1228675842285
"2007-01-26",12.2855358123779,12.4599599838257,12.1879377365112,12.408408164978,219640140,12.315357208252
"2007-01-29",12.4624624252319,12.4812307357788,12.2747745513916,12.3240737915039,190836972,12.2316551208496
"2007-01-30",12.362361907959,12.4624624252319,12.2927932739258,12.3703699111938,167052780,12.2776050567627
"2007-01-31",12.424674987793,12.637638092041,12.4001502990723,12.5500497817993,487755756,12.4559364318848
"2007-02-01",12.6626634597778,12.6629133224487,12.0502996444702,12.0558061599731,625721652,11.9653987884521
"2007-02-02",12.0773267745972,12.1371374130249,11.9572067260742,12.0495500564575,251208540,11.959189414978
"2007-02-05",11.9494485855103,11.9619617462158,11.6664161682129,11.6906909942627,287987724,11.6030206680298
"2007-02-06",11.7142143249512,11.8443441390991,11.6931934356689,11.7987985610962,212663124,11.710319519043
"2007-02-07",11.8573570251465,11.8706207275391,11.7312307357788,11.7620115280151,164627208,11.6738080978394
"2007-02-08",11.712963104248,11.8556060791016,11.6403903961182,11.7875375747681,162904932,11.6991415023804
"2007-02-09",11.8030529022217,11.8288288116455,11.5490493774414,11.5588092803955,194149656,11.472128868103
"2007-02-12",11.5285291671753,11.5713205337524,11.3868865966797,11.4687185287476,229949820,11.3827133178711
"2007-02-13",11.4902400970459,11.5810813903809,11.4429426193237,11.4889888763428,162341496,11.4028310775757
"2007-02-14",11.5115118026733,11.739990234375,11.4919919967651,11.6599102020264,227724048,11.5724716186523
"2007-02-15",11.6616621017456,11.6649150848389,11.5295295715332,11.5482978820801,161534304,11.4616966247559
"2007-02-16",11.581582069397,11.7655162811279,11.5630626678467,11.7602596282959,246832920,11.6720676422119
"2007-02-20",11.7234725952148,11.8305807113647,11.6293792724609,11.8143138885498,162541296,11.7257175445557
"2007-02-21",11.757758140564,11.9789791107178,11.7052049636841,11.908408164978,225398376,11.8191070556641
"2007-02-22",11.9792289733887,12.1181182861328,11.8716220855713,11.9081583023071,229526244,11.8188581466675
"2007-02-23",11.9056558609009,11.9356861114502,11.7067070007324,11.7772769927979,155148696,11.6889581680298
"2007-02-26",11.8325834274292,11.8931427001953,11.6053552627563,11.6348848342896,158637204,11.5476341247559
"2007-02-27",11.3863859176636,11.5065069198608,11.1904401779175,11.2304801940918,372139488,11.1462621688843
"2007-02-28",11.2715215682983,11.353102684021,11.0870866775513,11.2474966049194,320970708,11.1631517410278
"2007-03-01",11.0778284072876,11.3218221664429,11.0110111236572,11.2169666290283,347060592,11.132848739624
"2007-03-02",11.1388893127441,11.2287292480469,10.9779777526855,10.9779777526855,263080656,10.8956527709961
"2007-03-05",10.9364356994629,11.1486492156982,10.9359359741211,11.0347852706909,253949796,10.952033996582
"2007-03-06",11.1979484558105,11.4864864349365,11.1956958770752,11.4502000808716,301046652,11.364333152771
"2007-03-07",11.5788288116455,11.5900897979736,11.3686189651489,11.4024019241333,261102636,11.31689453125
"2007-03-08",11.4919919967651,11.64914894104,11.3638639450073,11.3793792724609,214297488,11.2940454483032
"2007-03-09",11.4614610671997,11.4714708328247,11.2637643814087,11.335334777832,198908892,11.2503309249878
"2007-03-12",11.3255758285522,11.3926429748535,11.2890386581421,11.3801298141479,138477384,11.29478931427
"2007-03-13",11.2640142440796,11.3095598220825,11.0818319320679,11.0868368148804,254836908,11.0036954879761
"2007-03-14",11.0918416976929,11.2277278900146,10.9859857559204,11.2112112045288,320355324,11.1271381378174
"2007-03-15",11.2077083587646,11.2567567825317,11.1096096038818,11.1659164428711,157610232,11.082181930542
"2007-03-16",11.1524019241333,11.1786794662476,11.0082578659058,11.0322818756104,226137636,10.9495506286621
"2007-03-19",11.092342376709,11.2237243652344,11.0267772674561,11.1919422149658,207700092,11.1080141067505
"2007-03-20",11.1559057235718,11.2012014389038,11.1011009216309,11.1431427001953,136723140,11.0595788955688
"2007-03-21",11.1436443328857,11.4256763458252,11.1413908004761,11.4251747131348,231700068,11.3394975662231
"2007-03-22",11.4016523361206,11.5658159255981,11.3245754241943,11.5625629425049,227000772,11.4758539199829
"2007-03-23",11.5477981567383,11.5963459014893,11.4384384155273,11.5573072433472,164287548,11.4706373214722
"2007-03-26",11.5252752304077,11.6366367340088,11.4019021987915,11.6366367340088,188223588,11.549373626709
"2007-03-27",11.6003503799438,11.6423921585083,11.52001953125,11.6021022796631,149498352,11.515097618103
"2007-03-28",11.5583076477051,11.647647857666,11.5152654647827,11.5585594177246,183480336,11.4718809127808
"2007-03-29",11.6253747940063,11.6616621017456,11.3863859176636,11.53453540802,159380460,11.4480381011963
"2007-03-30",11.5640640258789,11.5965967178345,11.4149150848389,11.46546459198,135072792,11.3794832229614
"2007-04-02",11.455454826355,11.4747247695923,11.3143138885498,11.4747247695923,137802060,11.3886747360229
"2007-04-03",11.6128625869751,11.8681182861328,11.6116123199463,11.8268270492554,259811928,11.7381372451782
